sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	library_layout	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	population_color	population	geometry	root_rtt_dist	population_rtt_dist
GCA_003798225.1_ASM379822v1_genomic	FDAARGOS_601	1954.0	-67	Democratic Republic of the Congo	?	-4.0324901	22.457478747924338	?	?	Antiqua	1.ANT	1.ANT1	SAMN10228581	KEEP: Assembly Modern	1	Africa	1954.0	67.0	0.0	-4.0324901	22.457478747924338	?	Illumina HiSeq 4000	?	UCC strain	?	PAIRED	2.948	213.0	110.0	47.0	2.34043	9.0	0.19148900000000002	242.0	213.0	29.0	0.119835	2.35e-08	#ff8a48	1.ANT	POINT (22.45747874792434 -4.0324901)	7.85061e-05	4.7e-08
GCA_900460465.1_57940_B01_genomic	NCTC5923	1939.0	-82	Indonesia	Central Java	-2.4833826	117.8902853	-7.303241199999999	110.0044145	Orientalis	1.ORI	1.ORI1	SAMEA104281628	KEEP: Assembly Modern	1	Asia	1939.0	82.0	0.0	-7.303241199999999	110.0044145	?	PacBio RS	?	Vaccine	?	SINGLE	1.706	43.0	23.0	9.0	2.55556	2.0	0.22222199999999998	64.0	43.0	21.0	0.328125	1.8776e-06	#ff0000	1.ORI	POINT (110.0044145 -7.303241199999999)	6.751289999999998e-05	1.8776e-06
GCA_004023595.1_ASM402359v1_genomic	2514	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Medievalis	2.MED	2.MED1	SAMN06209181	KEEP: Assembly Modern	2	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 1.06	Rhombomys opimus	Rodentia	?	1.9869999999999999	209.0	113.0	50.0	2.26	0.0	0.0	225.0	209.0	16.0	0.07111110000000001	2.35e-08	#c5e88a	2.MED	POINT (85.46334640000001 42.4804953)	7.165920000000004e-05	8.050300000000002e-06
GCA_004023585.1_ASM402358v1_genomic	2513	2005.0	-16	China	Xinjiang	35.000074	104.999927	42.4804953	85.4633464	Medievalis	2.MED	2.MED1	SAMN06209180	KEEP: Assembly Modern	2	Asia	2005.0	16.0	0.0	42.4804953	85.4633464	Non-Human	Illumina Hiseq 2000	SOAPdenovo v. 1.06	Rhombomys opimus	Rodentia	?	1.9340000000000002	206.0	111.0	52.0	2.13462	0.0	0.0	226.0	206.0	20.0	0.08849560000000001	2.35e-08	#c5e88a	2.MED	POINT (85.46334640000001 42.4804953)	7.165920000000004e-05	8.050300000000002e-06
GCA_002127355.1_ASM212735v1_genomic	C-712	1996.0	-25	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN04993042	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	Europe	1996.0	25.0	0.0	43.0883099	47.14988017944229	Non-Human	Illumina MiSeq	SPAdes v. 3.9.0	Microtus arvalis	Rodentia	PAIRED	1.579	646.0	357.0	154.0	2.31818	6.0	0.038961	673.0	646.0	27.0	0.0401189	1.03184e-05	#5148fc	0.PE	POINT (47.14988017944229 43.0883099)	8.334710000000001e-05	8.11175e-05
GCA_002127375.1_ASM212737v1_genomic	C-739	1998.0	-23	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN04992974	KEEP: Assembly Modern Kislichkina 2017 Keller 2019	0	Europe	1998.0	23.0	0.0	43.0883099	47.14988017944229	Non-Human	Illumina MiSeq	SPAdes v. 3.9.0	Microtus arvalis	Rodentia	PAIRED	1.77	604.0	333.0	137.0	2.43066	6.0	0.0437956	632.0	604.0	28.0	0.044303800000000004	2.8164e-06	#5148fc	0.PE	POINT (47.14988017944229 43.0883099)	7.57952e-05	7.35656e-05
GCA_001295055.1_ASM129505v1_genomic	C-666	1989.0	-32	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861513	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1989.0	32.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.6130000000000002	656.0	364.0	138.0	2.63768	8.0	0.057971	669.0	656.0	13.0	0.019431999999999998	2.1123e-06	#5148fc	0.PE	POINT (46.70500981655712 40.6065534)	8.19949e-05	7.97653e-05
GCA_001294915.1_ASM129491v1_genomic	C-346	1976.0	-45	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN03861512	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1976.0	45.0	0.0	40.8294349	43.8276008	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.5619999999999998	649.0	358.0	138.0	2.5942	11.0	0.0797101	671.0	649.0	22.0	0.0327869	4.694e-07	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.178370000000001e-05	7.955410000000001e-05
GCA_001295025.1_ASM129502v1_genomic	I-2239	1972.0	-49	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN03861510	KEEP: Assembly Modern Kislichkina 2018b Keller 2019	0	Asia	1972.0	49.0	0.0	48.5470083	89.8549358	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.63	392.0	195.0	95.0	2.0526299999999997	2.0	0.021052599999999998	410.0	392.0	18.0	0.0439024	4.694e-07	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	6.1275e-05	5.9045399999999995e-05
GCA_001294905.1_ASM129490v1_genomic	C-291	1971.0	-50	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861503	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1971.0	50.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.6230000000000002	643.0	361.0	132.0	2.73485	7.0	0.0530303	657.0	643.0	14.0	0.021309	4.694e-07	#5148fc	0.PE	POINT (46.70500981655712 40.6065534)	8.10796e-05	7.885e-05
GCA_001294985.1_ASM129498v1_genomic	C-359	1978.0	-43	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861500	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1978.0	43.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.639	650.0	360.0	133.0	2.70677	8.0	0.0601504	655.0	650.0	5.0	0.00763359	9.388e-07	#5148fc	0.PE	POINT (46.70500981655712 40.6065534)	8.13143e-05	7.90847e-05
GCA_001295065.1_ASM129506v1_genomic	C-267	1969.0	-52	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861484	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1969.0	52.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.591	640.0	359.0	129.0	2.78295	7.0	0.054263599999999995	659.0	640.0	19.0	0.0288316	1.4082e-06	#5148fc	0.PE	POINT (46.70500981655712 40.6065534)	8.1549e-05	7.93194e-05
GCA_001295185.1_ASM129518v1_genomic	C-197	1967.0	-54	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861482	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1967.0	54.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.61	646.0	363.0	132.0	2.75	7.0	0.0530303	662.0	646.0	16.0	0.024169200000000002	8.82e-07	#5148fc	0.PE	POINT (46.70500981655712 40.6065534)	8.18281e-05	7.95985e-05
GCA_001294975.1_ASM129497v1_genomic	A-1804	1980.0	-41	Kyrgyzstan	Talas Region	41.5089324	74.724091	42.4451869	72.14310491939636	Talassica	0.PE	0.PE4t	SAMN03861481	KEEP: Assembly Modern Kislichkina 2015 Keller 2019 Placement	0	Asia	1980.0	41.0	0.0	42.4451869	72.14310491939636	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.536	432.0	222.0	93.0	2.3871	2.0	0.0215054	453.0	432.0	21.0	0.0463576	1.8776e-06	#5148fc	0.PE	POINT (72.14310491939636 42.4451869)	6.46924e-05	6.24628e-05
GCA_001295045.1_ASM129504v1_genomic	C-290	1971.0	-50	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN03839880	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1971.0	50.0	0.0	40.8294349	43.8276008	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.618	649.0	358.0	139.0	2.57554	9.0	0.06474819999999999	670.0	649.0	21.0	0.0313433	4.694e-07	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.180720000000001e-05	7.957760000000002e-05
GCA_001295145.1_ASM129514v1_genomic	A-1807	1980.0	-41	Kyrgyzstan	Talas Region	41.5089324	74.724091	42.4451869	72.14310491939636	Talassica	0.PE	0.PE4t	SAMN03839879	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1980.0	41.0	0.0	42.4451869	72.14310491939636	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.672	429.0	218.0	91.0	2.3956	10.0	0.10989000000000002	444.0	429.0	15.0	0.0337838	1.9034e-06	#5148fc	0.PE	POINT (72.14310491939636 42.4451869)	6.47182e-05	6.24886e-05
GCA_001294805.1_ASM129480v1_genomic	I-3134	1984.0	-37	Mongolia	Bayankhongor	46.8250388	103.8499736	46.18084675	100.67009765478292	Microtus	0.PE	0.PE4m	SAMN03839877	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1984.0	37.0	0.0	46.18084675	100.67009765478292	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.518	432.0	213.0	93.0	2.29032	15.0	0.16129000000000002	450.0	432.0	18.0	0.04	9.388e-07	#5148fc	0.PE	POINT (100.6700976547829 46.18084675)	5.9509600000000004e-05	5.728000000000001e-05
GCA_001294815.1_ASM129481v1_genomic	C-590	1983.0	-38	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN03839876	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1983.0	38.0	0.0	40.8294349	43.8276008	Non-Human	IonTorrent	Newbler v. 2,9	Microtus	Rodentia	SINGLE	1.5530000000000002	656.0	364.0	139.0	2.6187099999999996	10.0	0.0719424	664.0	656.0	8.0	0.012048200000000002	3.0512e-06	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.485840000000001e-05	8.262880000000001e-05
GCA_001294825.1_ASM129482v1_genomic	C-537	1984.0	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN03839871	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Europe	1984.0	37.0	0.0	43.0883099	47.14988017944229	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.845	580.0	321.0	131.0	2.45038	5.0	0.038167900000000005	585.0	580.0	5.0	0.00854701	2.347e-07	#5148fc	0.PE	POINT (47.14988017944229 43.0883099)	7.31665e-05	7.093690000000001e-05
GCA_003122795.1_Y.pestis_I-2422_genomic	I-2422	1974.0	-47	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08866751	KEEP: Assembly Modern Kislichkina 2015 Kutyrev 2018 Keller 2019	0	Asia	1974.0	47.0	0.0	48.5470083	89.8549358	Non-Human	IonTorrent	Newbler v. 2.6	Amphalius runatus	Siphonaptera	?	1.514	389.0	197.0	93.0	2.11828	2.0	0.0215054	399.0	389.0	10.0	0.0250627	3.99e-06	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	6.321779999999999e-05	6.09882e-05
GCA_002981925.1_ASM298192v1_genomic	I-2236	1972.0	-49	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08625967	KEEP: Assembly Modern Kislichkina 2018b Keller 2019	0	Asia	1972.0	49.0	0.0	48.5470083	89.8549358	?	Illumina MiSeq	SPAdes v. 3.9	?	?	PAIRED	1.538	415.0	204.0	97.0	2.1030900000000003	9.0	0.0927835	439.0	415.0	24.0	0.0546697	7.041e-07	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	6.15332e-05	5.930359999999999e-05
GCA_002981895.1_ASM298189v1_genomic	I-2231	1972.0	-49	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08625964	KEEP: Assembly Modern Kislichkina 2018b Keller 2019 Placement	0	Asia	1972.0	49.0	0.0	48.5470083	89.8549358	?	Illumina MiSeq	SPAdes v. 3.9	?	?	PAIRED	1.511	422.0	203.0	105.0	1.93333	8.0	0.0761905	453.0	422.0	31.0	0.0684327	1.8776e-06	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	6.270669999999999e-05	6.047709999999999e-05
GCA_001295105.1_ASM129510v1_genomic	C-235	1968.0	-53	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861483	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1968.0	53.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	SINGLE	1.6	646.0	364.0	133.0	2.73684	7.0	0.0526316	655.0	646.0	9.0	0.013740500000000001	9.317e-07	#5148fc	0.PE	POINT (46.70500981655712 40.6065534)	8.15918e-05	7.93622e-05
GCA_003074535.1_ASM307453v1_genomic	5M	1952.0	-69	Kyrgyzstan	Issyk-Kul Region	41.5089324	74.724091	42.06103415	78.17073232346421	Antiqua	0.ANT	0.ANT5	SAMN08866745	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 Placement	0	Asia	1952.0	69.0	0.0	42.06103415	78.17073232346421	Non-Human	IonTorrent	Newbler v. 2.6	Oropsylla silantiewi	Siphonaptera	?	1.953	166.0	84.0	42.0	2.0	7.0	0.166667	186.0	166.0	20.0	0.107527	4.694e-07	#238af5	0.ANT	POINT (78.17073232346421 42.06103415)	5.792900000000001e-05	1.57128e-05
GCA_003074595.1_ASM307459v1_genomic	262	1967.0	-54	Kyrgyzstan	Issyk-Kul Region	41.5089324	74.724091	42.06103415	78.17073232346421	Antiqua	0.ANT	0.ANT5	SAMN08866640	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1967.0	54.0	0.0	42.06103415	78.17073232346421	Non-Human	IonTorrent	Newbler v. 2.6	Marmota baibacina	Rodentia	?	1.791	161.0	84.0	43.0	1.9534900000000002	1.0	0.0232558	186.0	161.0	25.0	0.134409	2.347e-07	#238af5	0.ANT	POINT (78.17073232346421 42.06103415)	5.745960000000001e-05	1.52434e-05
GCA_003074335.1_ASM307433v1_genomic	44	1966.0	-55	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Medievalis	2.MED	2.MED1	SAMN05225380	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1966.0	55.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.6	Nosopsyllus laeviceps	Siphonaptera	?	1.641	216.0	120.0	47.0	2.5531900000000003	0.0	0.0	227.0	216.0	11.0	0.0484581	1.4082e-06	#c5e88a	2.MED	POINT (46.70500981655712 40.6065534)	7.353680000000002e-05	9.927899999999999e-06
GCA_003074255.1_ASM307425v1_genomic	1454	2012.0	-9	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05225371	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	2012.0	9.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Urocitellus undulatus	Rodentia	?	2.333	164.0	80.0	41.0	1.9512200000000002	10.0	0.243902	184.0	164.0	20.0	0.108696	2.35e-08	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.0337399999999996e-05	5.2014e-06
GCA_003074175.1_ASM307417v1_genomic	I-3086	1983.0	-38	Mongolia	Bayankhongor	46.8250388	103.8499736	46.18084675	100.67009765478292	Microtus	0.PE	0.PE4m	SAMN05219216	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1983.0	38.0	0.0	46.18084675	100.67009765478292	Non-Human	IonTorrent	Newbler v. 2.6	Lasiopodomys brandtii	Rodentia	?	1.5219999999999998	417.0	211.0	88.0	2.39773	4.0	0.0454545	430.0	417.0	13.0	0.030232599999999995	9.388e-07	#5148fc	0.PE	POINT (100.6700976547829 46.18084675)	5.9509600000000004e-05	5.728000000000001e-05
GCA_002993145.1_ASM299314v1_genomic	1393G	1979.0	-42	Georgia	Samtskhe-Javakheti	41.6809707	44.02873820000001	41.52653525	43.2469570403887	Caucasica	0.PE	0.PE2	SAMN08634710	KEEP: Assembly Modern	0	Asia	1979.0	42.0	0.0	41.52653525	43.2469570403887	Non-Human	IonTorrent	Newbler v. 2.6	Microtus arvalis	Rodentia	?	1.6219999999999999	646.0	356.0	141.0	2.52482	7.0	0.0496454	668.0	646.0	22.0	0.0329341	2.35e-08	#5148fc	0.PE	POINT (43.2469570403887 41.52653525)	8.180720000000001e-05	7.957760000000002e-05
GCA_003074435.1_ASM307443v1_genomic	KM874	1984.0	-37	Armenia	Syunik Province	40.7696272	44.6736646	39.3281408	46.1530296	Caucasica	0.PE	0.PE2	SAMN05240958	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1984.0	37.0	0.0	39.3281408	46.1530296	Non-Human	IonTorrent	Newbler v. 2.6	Microtus arvalis	Rodentia	?	1.601	643.0	363.0	131.0	2.7709900000000003	4.0	0.0305344	649.0	643.0	6.0	0.00924499	1.4082e-06	#5148fc	0.PE	POINT (46.1530296 39.3281408)	8.17837e-05	7.95541e-05
GCA_003074415.1_ASM307441v1_genomic	3551	1979.0	-42	Armenia	Gegharkunik Province	40.7696272	44.6736646	40.3030726	45.375739	Caucasica	0.PE	0.PE2	SAMN05225437	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1979.0	42.0	0.0	40.3030726	45.375739	Non-Human	IonTorrent	Newbler v. 2.6	Ctenophthalmus teres	Siphonaptera	?	1.618	653.0	361.0	136.0	2.65441	8.0	0.0588235	661.0	653.0	8.0	0.0121029	1.8776e-06	#5148fc	0.PE	POINT (45.375739 40.3030726)	8.269899999999999e-05	8.046939999999999e-05
GCA_003074395.1_ASM307439v1_genomic	3544	1979.0	-42	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN05225434	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1979.0	42.0	0.0	40.8294349	43.8276008	Non-Human	IonTorrent	Newbler v. 2.6	Microtus arvalis	Rodentia	?	1.6480000000000001	638.0	358.0	133.0	2.6917299999999997	2.0	0.0150376	647.0	638.0	9.0	0.013910399999999998	2.35e-08	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.08449e-05	7.86153e-05
GCA_003074375.1_ASM307437v1_genomic	261	1955.0	-66	Azerbaijan	Baku	40.3936294	47.7872508	40.3754434	49.8326748	Medievalis	2.MED	2.MED1	SAMN05225432	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1955.0	66.0	0.0	40.3754434	49.8326748	Non-Human	IonTorrent	Newbler v. 2.6	Meriones libycus erythrourus	Rodentia	?	1.736	223.0	122.0	47.0	2.59574	3.0	0.0638298	245.0	223.0	22.0	0.0897959	7.041e-07	#c5e88a	2.MED	POINT (49.8326748 40.3754434)	7.283270000000003e-05	9.2238e-06
GCA_003074355.1_ASM307435v1_genomic	1240	1967.0	-54	Azerbaijan	Fizuli District	40.3936294	47.7872508	39.58356755	47.3806998083944	Medievalis	2.MED	2.MED1	SAMN05225431	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1967.0	54.0	0.0	39.58356755	47.3806998083944	Non-Human	IonTorrent	Newbler v. 2.6	Meriones libycus erythrourus	Rodentia	?	1.7069999999999999	223.0	120.0	51.0	2.3529400000000003	1.0	0.0196078	238.0	223.0	15.0	0.06302519999999999	2.347e-07	#c5e88a	2.MED	POINT (47.3806998083944 39.58356755)	7.233980000000003e-05	8.730899999999998e-06
GCA_003074315.1_ASM307431v1_genomic	I-3223	1987.0	-34	Russia	Tuva Republic	64.6863136	97.7453061	51.4017149	93.8582593	Antiqua	4.ANT	4.ANT1	SAMN05225379	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	1987.0	34.0	0.0	51.4017149	93.8582593	Non-Human	IonTorrent	Newbler v. 2.6	Citellophilus tesquorum	Siphonaptera	?	1.719	146.0	77.0	37.0	2.08108	1.0	0.027027	170.0	146.0	24.0	0.141176	4.694e-07	#68fcc1	4.ANT	POINT (93.8582593 51.4017149)	5.8421800000000004e-05	3.2858e-06
GCA_003074295.1_ASM307429v1_genomic	244	1967.0	-54	Kazakhstan	Kyzylorda Region	47.2286086	65.20931970000001	45.20588529999999	63.9155202	Medievalis	2.MED	2.MED1	SAMN05225376	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1967.0	54.0	0.0	45.20588529999999	63.9155202	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	?	1.6780000000000002	214.0	115.0	50.0	2.3	1.0	0.02	243.0	214.0	29.0	0.119342	2.35e-08	#c5e88a	2.MED	POINT (63.9155202 45.20588529999999)	7.255100000000002e-05	8.9421e-06
GCA_003074215.1_ASM307421v1_genomic	349	2015.0	-6	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05219223	KEEP: Assembly Modern	4	Europe	2015.0	6.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Oropsylla silantiewi	Siphonaptera	?	2.065	164.0	84.0	40.0	2.1	9.0	0.225	183.0	164.0	19.0	0.103825	2.35e-08	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.0337399999999996e-05	5.2014e-06
GCA_003074195.1_ASM307419v1_genomic	337	2015.0	-6	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05219221	KEEP: Assembly Modern	4	Europe	2015.0	6.0	0.0	50.7114101	86.8572186	?	IonTorrent	Newbler v. 2.6	?	?	?	1.761	151.0	80.0	40.0	2.0	0.0	0.0	178.0	151.0	27.0	0.151685	2.35e-08	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.036089999999999e-05	5.2249e-06
GCA_003074155.1_ASM307415v1_genomic	338	2015.0	-6	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05219204	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	2015.0	6.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Marmota baibacina	Rodentia	?	1.831	155.0	82.0	38.0	2.15789	1.0	0.0263158	170.0	155.0	15.0	0.0882353	2.35e-08	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.0337399999999996e-05	5.2014e-06
GCA_003085995.1_ASM308599v1_genomic	1906	2014.0	-7	Russia	Republic of Kalmykia	64.6863136	97.7453061	46.90171160000001	45.249161	Medievalis	2.MED	2.MED1	SAMN05162893	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Europe	2014.0	7.0	0.0	46.90171160000001	45.249161	Non-Human	IonTorrent	Newbler v. 2.6	Meriones meridianus	Rodentia	?	1.6880000000000002	219.0	122.0	51.0	2.39216	0.0	0.0	243.0	219.0	24.0	0.0987654	1.1735e-06	#c5e88a	2.MED	POINT (45.249161 46.90171160000001)	7.414720000000009e-05	1.05383e-05
GCA_003086015.1_ASM308601v1_genomic	M-1944	2012.0	-9	Russia	Tuva Republic	64.6863136	97.7453061	51.4017149	93.8582593	Antiqua	4.ANT	4.ANT1	SAMN05162583	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	2012.0	9.0	0.0	51.4017149	93.8582593	Non-Human	IonTorrent	Newbler v. 2.6	Marmota sibirica	Rodentia	?	1.736	153.0	84.0	34.0	2.47059	0.0	0.0	176.0	153.0	23.0	0.130682	1.1735e-06	#68fcc1	4.ANT	POINT (93.8582593 51.4017149)	6.15691e-05	6.4330999999999994e-06
GCA_003085935.1_ASM308593v1_genomic	835	1958.0	-63	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN05162581	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1958.0	63.0	0.0	40.8294349	43.8276008	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	?	1.575	644.0	357.0	137.0	2.60584	7.0	0.0510949	646.0	644.0	2.0	0.00309598	7.041e-07	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.17602e-05	7.953060000000001e-05
GCA_003085975.1_ASM308597v1_genomic	1530	2014.0	-7	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Medievalis	2.MED	2.MED1	SAMN05162580	KEEP: Assembly Modern	2	Europe	2014.0	7.0	0.0	50.7114101	86.8572186	?	IonTorrent	Newbler v. 2.6	?	?	?	1.6	217.0	120.0	49.0	2.4489799999999997	1.0	0.020408199999999998	242.0	217.0	25.0	0.103306	2.35e-08	#c5e88a	2.MED	POINT (86.8572186 50.7114101)	7.341960000000008e-05	9.8107e-06
GCA_003086055.1_ASM308605v1_genomic	595	2014.0	-7	Russia	Astrakhan Oblast	64.6863136	97.7453061	47.1878186	47.608851	Medievalis	2.MED	2.MED1	SAMN05162559	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Europe	2014.0	7.0	0.0	47.1878186	47.608851	Non-Human	IonTorrent	Newbler v. 2.6	Mus musculus	Rodentia	?	1.8259999999999998	223.0	124.0	52.0	2.38462	0.0	0.0	241.0	223.0	18.0	0.0746888	2.347e-07	#c5e88a	2.MED	POINT (47.608851 47.1878186)	7.344310000000008e-05	9.8342e-06
