sample tstv cds_sites ns_sites ss_sites ns_ss_ratio homo_het_sites homo_sites het_sites het_ratio
GCA_000325365.1_ASM32536v1_genomic 1.778 69 38 19 2 69 69 0 0
GCA_000325345.1_ASM32534v1_genomic 1.609 168 98 41 2.39024 168 168 0 0
GCA_000325325.1_ASM32532v1_genomic 1.800 172 99 41 2.41463 172 172 0 0
GCA_000325305.1_ASM32530v1_genomic 2.057 148 76 42 1.80952 148 148 0 0
GCA_000325285.1_ASM32528v1_genomic 1.942 142 75 38 1.97368 142 142 0 0
GCA_000325265.1_ASM32526v1_genomic 2.020 140 72 37 1.94595 140 140 0 0
GCA_000325245.1_ASM32524v1_genomic 1.817 156 83 40 2.075 156 156 0 0
GCA_000325225.1_ASM32522v1_genomic 1.618 137 74 35 2.11429 138 137 1 0.00724638
GCA_000325205.1_ASM32520v1_genomic 2.185 160 82 44 1.86364 160 160 0 0
GCA_000325185.1_ASM32518v1_genomic 1.516 375 207 80 2.5875 375 375 0 0
GCA_000325165.1_ASM32516v1_genomic 1.548 75 45 15 3 75 75 0 0
GCA_000325125.1_ASM32512v1_genomic 1.712 183 105 43 2.44186 183 183 0 0
GCA_000325105.1_ASM32510v1_genomic 1.815 172 98 39 2.51282 172 172 0 0
GCA_000325085.1_ASM32508v1_genomic 1.597 184 104 41 2.53659 184 184 0 0
GCA_000325065.1_ASM32506v1_genomic 1.838 183 104 45 2.31111 183 183 0 0
GCA_000325045.1_ASM32504v1_genomic 1.700 178 102 41 2.4878 178 178 0 0
GCA_000325025.1_ASM32502v1_genomic 1.806 174 98 41 2.39024 174 174 0 0
GCA_000325005.1_ASM32500v1_genomic 1.818 174 102 38 2.68421 174 174 0 0
GCA_000324985.1_ASM32498v1_genomic 1.738 164 95 37 2.56757 164 164 0 0
GCA_000324965.1_ASM32496v1_genomic 1.855 164 89 38 2.34211 164 164 0 0
GCA_000324945.1_ASM32494v1_genomic 1.746 163 92 40 2.3 163 163 0 0
GCA_000324925.1_ASM32492v1_genomic 1.283 656 378 143 2.64336 656 656 0 0
GCA_000324905.1_ASM32490v1_genomic 1.917 164 94 36 2.61111 164 164 0 0
GCA_000324885.1_ASM32488v1_genomic 1.881 159 93 35 2.65714 159 159 0 0
GCA_000324865.1_ASM32486v1_genomic 1.400 57 32 15 2.13333 57 57 0 0
GCA_000324845.1_ASM32484v1_genomic 1.759 77 43 20 2.15 77 77 0 0
GCA_000324825.1_ASM32482v1_genomic 1.038 49 32 7 4.57143 49 49 0 0
GCA_000324765.1_ASM32476v1_genomic 1.667 67 37 18 2.05556 67 67 0 0
GCA_000324745.1_ASM32474v1_genomic 1.618 79 43 18 2.38889 79 79 0 0
GCA_000324725.1_ASM32472v1_genomic 1.929 76 42 16 2.625 76 76 0 0
GCA_000324705.1_ASM32470v1_genomic 2.455 75 42 17 2.47059 75 75 0 0
GCA_000324685.1_ASM32468v1_genomic 1.656 81 48 16 3 81 81 0 0
GCA_000324665.1_ASM32466v1_genomic 1.549 381 207 81 2.55556 381 381 0 0
GCA_000324645.1_ASM32464v1_genomic 1.440 56 30 17 1.76471 56 56 0 0
GCA_000324625.1_ASM32462v1_genomic 1.094 66 41 15 2.73333 66 66 0 0
GCA_000324605.1_ASM32460v1_genomic 1.676 176 100 41 2.43902 176 176 0 0
GCA_000324585.1_ASM32458v1_genomic 1.912 153 84 39 2.15385 153 153 0 0
GCA_000324565.1_ASM32456v1_genomic 1.903 170 91 41 2.21951 170 170 0 0
GCA_000324545.1_ASM32454v1_genomic 1.774 161 89 40 2.225 161 161 0 0
GCA_000324525.1_ASM32452v1_genomic 1.446 408 223 93 2.39785 408 408 0 0
GCA_000324505.1_ASM32450v1_genomic 1.672 166 90 40 2.25 166 166 0 0
GCA_000324485.1_ASM32448v1_genomic 1.726 166 97 40 2.425 166 166 0 0
GCA_000324465.1_ASM32446v1_genomic 1.512 380 209 84 2.4881 380 380 0 0
GCA_000324445.1_ASM32444v1_genomic 1.871 169 94 41 2.29268 169 169 0 0
GCA_000324425.1_ASM32442v1_genomic 1.700 53 30 15 2 53 53 0 0
GCA_000324405.1_ASM32440v1_genomic 1.656 82 48 21 2.28571 82 82 0 0
GCA_000324385.1_ASM32438v1_genomic 1.958 66 36 17 2.11765 66 66 0 0
GCA_000324365.1_ASM32436v1_genomic 1.412 78 43 20 2.15 78 78 0 0
GCA_000324345.1_ASM32434v1_genomic 1.895 242 137 61 2.2459 242 242 0 0
GCA_000324325.1_ASM32432v1_genomic 1.800 118 63 31 2.03226 118 118 0 0
GCA_000324305.1_ASM32430v1_genomic 1.839 167 89 41 2.17073 167 167 0 0
GCA_000324285.1_ASM32428v1_genomic 1.875 64 37 16 2.3125 64 64 0 0
GCA_000324265.1_ASM32426v1_genomic 1.889 172 93 40 2.325 172 172 0 0
GCA_000324245.1_ASM32424v1_genomic 1.915 162 89 37 2.40541 162 162 0 0
GCA_000324225.1_ASM32422v1_genomic 2.026 223 127 53 2.39623 223 223 0 0
GCA_000324205.1_ASM32420v1_genomic 1.774 248 141 66 2.13636 248 248 0 0
GCA_000324185.1_ASM32418v1_genomic 1.667 229 133 56 2.375 229 229 0 0
GCA_000324165.1_ASM32416v1_genomic 2.214 129 74 31 2.3871 129 129 0 0
GCA_000324145.1_ASM32414v1_genomic 1.823 164 94 36 2.61111 164 164 0 0
GCA_000324125.1_ASM32412v1_genomic 1.612 162 91 37 2.45946 162 162 0 0
GCA_000324105.1_ASM32410v1_genomic 1.343 74 43 16 2.6875 74 74 0 0
GCA_000324085.1_ASM32408v1_genomic 1.893 75 41 16 2.5625 75 75 0 0
GCA_000324065.1_ASM32406v1_genomic 2.071 119 68 30 2.26667 119 119 0 0
GCA_000324045.1_ASM32404v1_genomic 1.485 381 204 83 2.45783 381 381 0 0
GCA_000324025.1_ASM32402v1_genomic 1.879 176 101 39 2.58974 176 176 0 0
GCA_000324005.1_ASM32400v1_genomic 1.984 169 96 39 2.46154 169 169 0 0
GCA_000323985.1_ASM32398v1_genomic 1.611 43 26 8 3.25 43 43 0 0
GCA_000323965.1_ASM32396v1_genomic 1.571 67 38 16 2.375 67 67 0 0
GCA_000323945.1_ASM32394v1_genomic 1.676 179 104 45 2.31111 179 179 0 0
GCA_000323925.1_ASM32392v1_genomic 2.036 163 90 39 2.30769 163 163 0 0
GCA_000323905.1_ASM32390v1_genomic 1.933 165 91 38 2.39474 165 165 0 0
GCA_000323885.1_ASM32388v1_genomic 2.000 76 41 19 2.15789 76 76 0 0
GCA_000323865.1_ASM32386v1_genomic 2.083 71 41 17 2.41176 71 71 0 0
GCA_000323845.1_ASM32384v1_genomic 1.800 542 314 117 2.68376 542 542 0 0
GCA_000323825.1_ASM32382v1_genomic 2.167 73 42 15 2.8 73 73 0 0
GCA_000323805.1_ASM32380v1_genomic 2.111 80 46 17 2.70588 80 80 0 0
GCA_000323785.1_ASM32378v1_genomic 1.710 78 45 18 2.5 78 78 0 0
GCA_000323765.1_ASM32376v1_genomic 2.109 134 72 36 2 134 134 0 0
GCA_000323745.1_ASM32374v1_genomic 1.382 76 45 15 3 76 76 0 0
GCA_000323725.1_ASM32372v1_genomic 1.725 166 95 36 2.63889 166 166 0 0
GCA_000323705.1_ASM32370v1_genomic 2.233 132 78 30 2.6 132 132 0 0
GCA_000323685.1_ASM32368v1_genomic 1.833 81 45 17 2.64706 81 81 0 0
GCA_000323665.1_ASM32366v1_genomic 1.922 219 128 55 2.32727 219 219 0 0
GCA_000323645.1_ASM32364v1_genomic 1.815 167 94 39 2.41026 167 167 0 0
GCA_000323625.1_ASM32362v1_genomic 1.742 314 180 70 2.57143 314 314 0 0
GCA_000323605.1_ASM32360v1_genomic 1.793 76 46 18 2.55556 76 76 0 0
GCA_000323585.1_ASM32358v1_genomic 1.676 173 97 39 2.48718 173 173 0 0
GCA_000323565.1_ASM32356v1_genomic 1.905 170 101 36 2.80556 170 170 0 0
GCA_000323545.1_ASM32354v1_genomic 2.130 68 40 14 2.85714 68 68 0 0
GCA_000323525.1_ASM32352v1_genomic 2.044 129 68 36 1.88889 129 129 0 0
GCA_000323505.1_ASM32350v1_genomic 2.310 133 74 33 2.24242 133 133 0 0
GCA_000323485.1_ASM32348v1_genomic 1.752 562 316 123 2.56911 564 562 2 0.0035461
GCA_000323465.1_ASM32346v1_genomic 1.667 167 92 37 2.48649 167 167 0 0
GCA_000323445.1_ASM32344v1_genomic 1.893 76 43 17 2.52941 76 76 0 0
GCA_000323425.1_ASM32342v1_genomic 1.688 238 135 60 2.25 238 238 0 0
GCA_000323405.1_ASM32340v1_genomic 2.273 136 78 33 2.36364 136 136 0 0
GCA_000323385.1_ASM32338v1_genomic 1.857 126 73 30 2.43333 126 126 0 0
GCA_000323365.1_ASM32336v1_genomic 2.000 217 123 53 2.32075 217 217 0 0
GCA_000323345.1_ASM32334v1_genomic 1.912 154 86 35 2.45714 154 154 0 0
GCA_000323325.1_ASM32332v1_genomic 1.738 156 87 39 2.23077 156 156 0 0
GCA_000323305.1_ASM32330v1_genomic 1.825 151 82 37 2.21622 151 151 0 0
GCA_000323285.1_ASM32328v1_genomic 2.000 71 41 17 2.41176 71 71 0 0
GCA_000323245.1_ASM32324v1_genomic 1.866 181 99 42 2.35714 181 181 0 0
GCA_000323225.1_ASM32322v1_genomic 1.840 202 113 46 2.45652 202 202 0 0
GCA_000323205.1_ASM32320v1_genomic 1.779 201 113 46 2.45652 201 201 0 0
GCA_000320465.1_ASM32046v1_genomic 2.143 125 72 32 2.25 125 125 0 0
GCA_000320445.1_ASM32044v1_genomic 1.817 157 88 35 2.51429 157 157 0 0
GCA_000323185.1_ASM32318v1_genomic 1.791 229 135 57 2.36842 229 229 0 0
GCA_000320425.1_ASM32042v1_genomic 1.769 311 180 68 2.64706 311 311 0 0
GCA_000275685.1_ASM27568v1_genomic 1.756 213 114 52 2.19231 244 213 31 0.127049
GCA_000382505.1_Yersinia_pestis_G1670E_assembly_genomic 1.359 687 398 139 2.86331 689 687 2 0.00290276
GCA_000269485.1_ASM26948v1_genomic 2.161 88 35 21 1.66667 88 88 0 0
GCA_000269225.1_ASM26922v1_genomic 3.118 132 38 23 1.65217 133 132 1 0.0075188
GCA_000269205.1_ASM26920v1_genomic 1.703 92 38 23 1.65217 92 92 0 0
GCA_000269185.1_ASM26918v1_genomic 1.324 78 35 23 1.52174 80 78 2 0.025
GCA_000269145.1_ASM26914v1_genomic 1.293 84 34 18 1.88889 84 84 0 0
GCA_000269445.1_ASM26944v1_genomic 1.191 92 42 28 1.5 95 92 3 0.0315789
GCA_000269425.1_ASM26942v1_genomic 1.960 65 34 17 2 65 65 0 0
GCA_000269125.1_ASM26912v1_genomic 1.852 67 34 18 1.88889 67 67 0 0
GCA_000269105.1_ASM26910v1_genomic 1.395 80 36 22 1.63636 80 80 0 0
GCA_000269085.1_ASM26908v1_genomic 1.514 84 40 25 1.6 86 84 2 0.0232558
GCA_000269065.1_ASM26906v1_genomic 1.379 142 52 31 1.67742 142 142 0 0
GCA_000269045.1_ASM26904v1_genomic 1.800 95 38 22 1.72727 95 95 0 0
GCA_000269405.1_ASM26940v1_genomic 1.113 120 39 24 1.625 127 120 7 0.0551181
GCA_000269025.1_ASM26902v1_genomic 1.735 101 27 16 1.6875 103 101 2 0.0194175
GCA_000269005.1_ASM26900v1_genomic 1.083 63 23 14 1.64286 65 63 2 0.0307692
GCA_000268985.1_ASM26898v1_genomic 1.821 72 29 10 2.9 74 72 2 0.027027
GCA_000269385.1_ASM26938v1_genomic 1.347 76 32 17 1.88235 76 76 0 0
GCA_000268965.1_ASM26896v1_genomic 1.175 91 42 19 2.21053 94 91 3 0.0319149
GCA_000268945.1_ASM26894v1_genomic 1.789 82 37 21 1.7619 83 82 1 0.0120482
GCA_000268925.1_ASM26892v1_genomic 1.594 96 47 25 1.88 96 96 0 0
GCA_000269365.1_ASM26936v1_genomic 1.318 138 48 20 2.4 138 138 0 0
GCA_000268905.1_ASM26890v1_genomic 2.172 87 32 21 1.52381 89 87 2 0.0224719
GCA_000268885.1_ASM26888v1_genomic 1.282 80 34 22 1.54545 80 80 0 0
GCA_000268865.1_ASM26886v1_genomic 1.486 81 39 22 1.77273 81 81 0 0
GCA_000268865.2_ASM26886v2_genomic 1.486 81 39 22 1.77273 81 81 0 0
GCA_000268845.1_ASM26884v1_genomic 2.407 81 32 16 2 81 81 0 0
GCA_000268825.1_ASM26882v1_genomic 2.281 92 38 20 1.9 94 92 2 0.0212766
GCA_000268805.1_ASM26880v1_genomic 1.750 68 35 20 1.75 68 68 0 0
GCA_000268805.2_ASM26880v2_genomic 1.750 68 35 20 1.75 68 68 0 0
GCA_000268785.1_ASM26878v1_genomic 1.595 87 41 21 1.95238 87 87 0 0
GCA_000269345.1_ASM26934v1_genomic 1.925 97 37 22 1.68182 98 97 1 0.0102041
GCA_000268765.1_ASM26876v1_genomic 1.444 77 35 22 1.59091 77 77 0 0
GCA_000269325.1_ASM26932v1_genomic 1.621 71 36 17 2.11765 71 71 0 0
GCA_000269305.1_ASM26930v1_genomic 1.789 97 36 22 1.63636 97 97 0 0
GCA_000268745.1_ASM26874v1_genomic 2.483 92 36 17 2.11765 95 92 3 0.0315789
GCA_000269285.1_ASM26928v1_genomic 3.179 109 33 25 1.32 109 109 0 0
GCA_000269285.2_ASM26928v2_genomic 3.179 109 33 25 1.32 109 109 0 0
GCA_000269265.1_ASM26926v1_genomic 2.453 121 40 21 1.90476 125 121 4 0.032
GCA_000268725.1_ASM26872v1_genomic 2.757 121 42 22 1.90909 121 121 0 0
GCA_000268725.2_ASM26872v2_genomic 2.757 121 42 22 1.90909 121 121 0 0
GCA_000268685.1_ASM26868v1_genomic 1.525 102 47 27 1.74074 102 102 0 0
GCA_000268665.1_ASM26866v1_genomic 2.359 104 36 23 1.56522 108 104 4 0.037037
GCA_000268525.1_ASM26852v1_genomic 1.512 86 30 13 2.30769 92 86 6 0.0652174
GCA_000268485.1_ASM26848v1_genomic 1.909 62 30 15 2 64 62 2 0.03125
GCA_000268485.2_ASM26848v2_genomic 1.909 62 30 15 2 64 62 2 0.03125
GCA_000268385.1_ASM26838v1_genomic 1.667 73 36 21 1.71429 73 73 0 0
GCA_000268365.1_ASM26836v1_genomic 1.871 102 35 25 1.4 104 102 2 0.0192308
GCA_000268345.1_ASM26834v1_genomic 1.280 96 43 26 1.65385 96 96 0 0
GCA_000268585.1_ASM26858v1_genomic 3.036 106 37 17 2.17647 107 106 1 0.00934579
GCA_000268565.1_ASM26856v1_genomic 1.780 121 50 28 1.78571 122 121 1 0.00819672
GCA_000268325.1_ASM26832v1_genomic 1.729 121 50 32 1.5625 121 121 0 0
GCA_000268545.1_ASM26854v1_genomic 1.233 86 43 23 1.86957 86 86 0 0
GCA_000382545.1_Yersinia_pestis_assembly_genomic 1.636 670 379 140 2.70714 676 670 6 0.00887574
GCA_000382525.1_Yersinia_pestis_G3768_assembly_genomic 1.387 653 362 142 2.5493 656 653 3 0.00457317
GCA_016103005.1_ASM1610300v1_genomic 1.761 221 120 51 2.35294 245 221 24 0.0979592
GCA_016102975.1_ASM1610297v1_genomic 1.739 221 125 51 2.45098 246 221 25 0.101626
GCA_016102965.1_ASM1610296v1_genomic 1.645 217 124 49 2.53061 252 217 35 0.138889
GCA_016102905.1_ASM1610290v1_genomic 1.855 219 124 50 2.48 242 219 23 0.0950413
GCA_016102945.1_ASM1610294v1_genomic 1.750 215 119 52 2.28846 239 215 24 0.100418
GCA_016102915.1_ASM1610291v1_genomic 1.833 219 122 51 2.39216 242 219 23 0.0950413
GCA_016102855.1_ASM1610285v1_genomic 1.725 223 124 52 2.38462 243 223 20 0.0823045
GCA_016102845.1_ASM1610284v1_genomic 1.841 214 120 49 2.44898 236 214 22 0.0932203
GCA_016102875.1_ASM1610287v1_genomic 1.632 205 116 47 2.46809 215 205 10 0.0465116
GCA_016102745.1_ASM1610274v1_genomic 1.688 219 123 49 2.5102 231 219 12 0.0519481
GCA_016102785.1_ASM1610278v1_genomic 1.902 217 120 51 2.35294 228 217 11 0.0482456
GCA_016102765.1_ASM1610276v1_genomic 1.750 216 118 52 2.26923 233 216 17 0.0729614
GCA_016102755.1_ASM1610275v1_genomic 1.918 217 123 44 2.79545 227 217 10 0.0440529
GCA_016102775.1_ASM1610277v1_genomic 1.708 218 125 46 2.71739 228 218 10 0.0438596
GCA_016102655.1_ASM1610265v1_genomic 1.829 212 123 45 2.73333 225 212 13 0.0577778
GCA_016102685.1_ASM1610268v1_genomic 2.827 350 198 85 2.32941 367 350 17 0.0463215
GCA_016102675.1_ASM1610267v1_genomic 1.761 223 125 52 2.40385 248 223 25 0.100806
GCA_016102665.1_ASM1610266v1_genomic 2.392 333 193 84 2.29762 358 333 25 0.0698324
GCA_016102645.1_ASM1610264v1_genomic 1.786 219 122 47 2.59574 229 219 10 0.0436681
GCA_016102545.1_ASM1610254v1_genomic 1.895 226 131 50 2.62 246 226 20 0.0813008
GCA_016102585.1_ASM1610258v1_genomic 1.881 218 119 53 2.24528 245 218 27 0.110204
GCA_016102565.1_ASM1610256v1_genomic 2.723 387 232 93 2.49462 410 387 23 0.0560976
GCA_016102575.1_ASM1610257v1_genomic 1.911 210 121 45 2.68889 236 210 26 0.110169
GCA_016102555.1_ASM1610255v1_genomic 1.945 267 152 62 2.45161 278 267 11 0.0395683
GCA_015190655.1_ASM1519065v1_genomic 1.731 175 96 39 2.46154 213 175 38 0.178404
GCA_015158485.1_ASM1515848v1_genomic 2.100 82 52 17 3.05882 101 82 19 0.188119
GCA_015158475.1_ASM1515847v1_genomic 2.167 72 41 17 2.41176 99 72 27 0.272727
GCA_015158575.1_ASM1515857v1_genomic 1.844 85 49 20 2.45 111 85 26 0.234234
GCA_015158585.1_ASM1515858v1_genomic 2.231 80 45 21 2.14286 101 80 21 0.207921
GCA_015158615.1_ASM1515861v1_genomic 2.375 77 44 19 2.31579 97 77 20 0.206186
GCA_015158635.1_ASM1515863v1_genomic 2.179 85 48 20 2.4 105 85 20 0.190476
GCA_015158625.1_ASM1515862v1_genomic 2.250 74 41 19 2.15789 104 74 30 0.288462
GCA_015158675.1_ASM1515867v1_genomic 1.868 177 92 47 1.95745 223 177 46 0.206278
GCA_015158715.1_ASM1515871v1_genomic 2.000 176 89 41 2.17073 215 176 39 0.181395
GCA_015158695.1_ASM1515869v1_genomic 1.924 173 90 37 2.43243 212 173 39 0.183962
GCA_015158705.1_ASM1515870v1_genomic 1.833 180 90 39 2.30769 218 180 38 0.174312
GCA_015158755.1_ASM1515875v1_genomic 1.784 181 99 43 2.30233 214 181 33 0.154206
GCA_015158765.1_ASM1515876v1_genomic 1.984 166 90 39 2.30769 206 166 40 0.194175
GCA_015158805.1_ASM1515880v1_genomic 1.855 179 93 47 1.97872 224 179 45 0.200893
GCA_015158795.1_ASM1515879v1_genomic 2.015 175 94 40 2.35 215 175 40 0.186047
GCA_015158815.1_ASM1515881v1_genomic 2.125 181 89 41 2.17073 225 181 44 0.195556
GCA_015158845.1_ASM1515884v1_genomic 1.803 186 94 41 2.29268 209 186 23 0.110048
GCA_015158875.1_ASM1515887v1_genomic 2.031 171 94 41 2.29268 212 171 41 0.193396
GCA_015158895.1_ASM1515889v1_genomic 1.985 174 92 41 2.2439 210 174 36 0.171429
GCA_015158935.1_ASM1515893v1_genomic 2.095 177 90 41 2.19512 218 177 41 0.188073
GCA_015158905.1_ASM1515890v1_genomic 1.651 185 103 40 2.575 221 185 36 0.162896
GCA_015158945.1_ASM1515894v1_genomic 2.172 181 95 41 2.31707 221 181 40 0.180995
GCA_015158955.1_ASM1515895v1_genomic 1.849 186 100 42 2.38095 226 186 40 0.176991
GCA_015158995.1_ASM1515899v1_genomic 2.015 174 98 40 2.45 216 174 42 0.194444
GCA_015159005.1_ASM1515900v1_genomic 1.954 171 93 40 2.325 201 171 30 0.149254
GCA_015159045.1_ASM1515904v1_genomic 1.674 215 104 47 2.21277 242 215 27 0.11157
GCA_015159035.1_ASM1515903v1_genomic 1.941 175 95 41 2.31707 212 175 37 0.174528
GCA_015159075.1_ASM1515907v1_genomic 1.938 172 91 41 2.21951 213 172 41 0.192488
GCA_015159085.1_ASM1515908v1_genomic 2.045 182 93 41 2.26829 213 182 31 0.14554
GCA_015159105.1_ASM1515910v1_genomic 1.882 176 92 41 2.2439 212 176 36 0.169811
GCA_015159145.1_ASM1515914v1_genomic 2.090 184 95 42 2.2619 224 184 40 0.178571
GCA_015159135.1_ASM1515913v1_genomic 1.985 176 95 42 2.2619 212 176 36 0.169811
GCA_015159175.1_ASM1515917v1_genomic 1.971 180 98 41 2.39024 221 180 41 0.18552
GCA_015159195.1_ASM1515919v1_genomic 1.872 192 104 41 2.53659 216 192 24 0.111111
GCA_015159615.1_ASM1515961v1_genomic 2.000 244 128 53 2.41509 267 244 23 0.0861423
GCA_015274745.1_ASM1527474v1_genomic 1.843 178 90 42 2.14286 197 178 19 0.0964467
GCA_015274715.1_ASM1527471v1_genomic 1.649 176 88 45 1.95556 210 176 34 0.161905
GCA_015274685.1_ASM1527468v1_genomic 1.736 171 89 39 2.28205 201 171 30 0.149254
GCA_014734395.1_ASM1473439v1_genomic 1.842 200 110 46 2.3913 235 200 35 0.148936
GCA_014734355.1_ASM1473435v1_genomic 1.895 204 113 47 2.40426 233 204 29 0.124464
GCA_014734405.1_ASM1473440v1_genomic 1.895 204 114 47 2.42553 239 204 35 0.146444
GCA_013421535.1_ASM1342153v1_genomic 1.760 63 30 20 1.5 76 63 13 0.171053
GCA_013421545.1_ASM1342154v1_genomic 1.147 64 34 17 2 80 64 16 0.2
GCA_013421555.1_ASM1342155v1_genomic 1.267 59 29 16 1.8125 82 59 23 0.280488
GCA_013421465.1_ASM1342146v1_genomic 2.240 74 38 19 2 92 74 18 0.195652
GCA_013421455.1_ASM1342145v1_genomic 1.552 65 33 19 1.73684 80 65 15 0.1875
GCA_015350455.1_ASM1535045v1_genomic 1.819 209 117 49 2.38776 220 209 11 0.05
GCA_015350435.1_ASM1535043v1_genomic 1.788 212 116 50 2.32 218 212 6 0.0275229
GCA_015350425.1_ASM1535042v1_genomic 1.753 215 118 50 2.36 226 215 11 0.0486726
GCA_013391945.1_ASM1339194v1_genomic 2.305 173 80 41 1.95122 191 173 18 0.0942408
GCA_013391965.1_ASM1339196v1_genomic 1.838 166 79 45 1.75556 180 166 14 0.0777778
GCA_013392085.1_ASM1339208v1_genomic 1.896 207 113 48 2.35417 237 207 30 0.126582
GCA_013392055.1_ASM1339205v1_genomic 1.883 205 112 49 2.28571 229 205 24 0.104803
GCA_013392045.1_ASM1339204v1_genomic 1.765 208 113 48 2.35417 227 208 19 0.0837004
GCA_013392105.1_ASM1339210v1_genomic 1.882 203 112 48 2.33333 233 203 30 0.128755
GCA_013392075.1_ASM1339207v1_genomic 1.833 205 113 48 2.35417 233 205 28 0.120172
GCA_013392145.1_ASM1339214v1_genomic 1.846 206 113 48 2.35417 230 206 24 0.104348
GCA_010974855.1_ASM1097485v1_genomic 1.975 217 121 54 2.24074 228 217 11 0.0482456
GCA_010974835.1_ASM1097483v1_genomic 1.445 232 131 48 2.72917 260 232 28 0.107692
GCA_010974845.1_ASM1097484v1_genomic 1.775 219 125 48 2.60417 239 219 20 0.083682
GCA_009909645.1_ASM990964v1_genomic 1.753 217 123 47 2.61702 240 217 23 0.0958333
GCA_009909655.1_ASM990965v1_genomic 1.828 224 127 50 2.54 252 224 28 0.111111
GCA_900637475.1_51108_B01_genomic 3.055 15139 3431 9058 0.378781 15358 15139 219 0.0142597
GCA_000834295.1_ASM83429v1_genomic 3.013 15105 3452 8994 0.383811 15393 15105 288 0.0187098
