sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	population_color	population	geometry	root_rtt_dist	clade_rtt_dist	population_rtt_dist	tstv	cds_sites	ns_sites	ss_sites	ns_ss_ratio	other_var	other_var_ratio	homo_het_sites	homo_sites	het_sites	het_ratio	external_branch_length	variant_qc	tstv_outlier
GCA_001294805.1_ASM129480v1_genomic	I-3134	1984.0	-37	Mongolia	Bayankhongor	46.8250388	103.8499736	46.18084675	100.67009765478292	Microtus	0.PE	0.PE4m	SAMN03839877	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1984.0	37.0	0.0	46.18084675	100.67009765478292	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	#5148fc	0.PE	POINT (100.6700976547829 46.18084675)	6.1031599999999993e-05	NA	5.88011e-05	1.518	432.0	213.0	93.0	2.29032	15.0	0.16129000000000002	450.0	432.0	18.0	0.04	9.423e-07	pass	0.0
GCA_001294815.1_ASM129481v1_genomic	C-590	1983.0	-38	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN03839876	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1983.0	38.0	0.0	40.8294349	43.8276008	Non-Human	IonTorrent	Newbler v. 2,9	Microtus	Rodentia	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.636559999999999e-05	NA	8.413509999999999e-05	1.5530000000000002	656.0	364.0	139.0	2.6187099999999996	10.0	0.0719424	664.0	656.0	8.0	0.012048200000000002	3.0623e-06	pass	0.0
GCA_001294825.1_ASM129482v1_genomic	C-537	1984.0	-37	Russia	Republic of Dagestan	64.6863136	97.7453061	43.0883099	47.14988017944229	Caucasica	0.PE	0.PE2	SAMN03839871	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Europe	1984.0	37.0	0.0	43.0883099	47.14988017944229	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	#5148fc	0.PE	POINT (47.14988017944229 43.0883099)	7.44145e-05	NA	7.2184e-05	1.845	580.0	321.0	131.0	2.45038	5.0	0.038167900000000005	585.0	580.0	5.0	0.00854701	2.356e-07	pass	0.0
GCA_000950945.1_ASM95094v1_genomic	I-3189	1986.0	-35	Mongolia	Ömnögovi	46.8250388	103.8499736	43.282363	104.1133864	Ulegeica	0.PE	0.PE5	SAMN03256423	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1986.0	35.0	0.0	43.282363	104.1133864	Non-Human	454	Newbler v. 2.9	Microtus	Rodentia	#5148fc	0.PE	POINT (104.1133864 43.282363)	7.613739999999998e-05	NA	7.39069e-05	1.3230000000000002	429.0	216.0	108.0	2.0	1.0	0.00925926	439.0	429.0	10.0	0.022779	1.17783e-05	pass	0.0
GCA_003122795.1_Y.pestis_I-2422_genomic	I-2422	1974.0	-47	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08866751	KEEP: Assembly Modern Kislichkina 2015 Kutyrev 2018 Keller 2019	0	Asia	1974.0	47.0	0.0	48.5470083	89.8549358	Non-Human	IonTorrent	Newbler v. 2.6	Amphalius runatus	Siphonaptera	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	6.46573e-05	NA	6.24268e-05	1.514	389.0	197.0	93.0	2.11828	2.0	0.0215054	399.0	389.0	10.0	0.0250627	4.0046e-06	pass	0.0
GCA_002981995.1_ASM298199v1_genomic	I-2457	1973.0	-48	Mongolia	Ömnögovi	46.8250388	103.8499736	43.282363	104.1133864	Ulegeica	0.PE	0.PE5	SAMN08625969	KEEP: Assembly Modern Kislichkina 2018b Keller 2019	0	Asia	1973.0	48.0	0.0	43.282363	104.1133864	NA	Illumina MiSeq	SPAdes v. 3.9	NA	NA	#5148fc	0.PE	POINT (104.1133864 43.282363)	6.789259999999998e-05	NA	6.56621e-05	1.38	454.0	225.0	111.0	2.02703	6.0	0.054054099999999994	488.0	454.0	34.0	0.0696721	4.0046e-06	pass	0.0
GCA_002981925.1_ASM298192v1_genomic	I-2236	1972.0	-49	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08625967	KEEP: Assembly Modern Kislichkina 2018b Keller 2019	0	Asia	1972.0	49.0	0.0	48.5470083	89.8549358	NA	Illumina MiSeq	SPAdes v. 3.9	NA	NA	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	6.275739999999998e-05	NA	6.0526900000000005e-05	1.538	415.0	204.0	97.0	2.1030900000000003	9.0	0.0927835	439.0	415.0	24.0	0.0546697	4.711e-07	pass	0.0
GCA_002981915.1_ASM298191v1_genomic	I-3190	1986.0	-35	Mongolia	Ömnögovi	46.8250388	103.8499736	43.282363	104.1133864	Ulegeica	0.PE	0.PE5	SAMN08625966	KEEP: Assembly Modern Kislichkina 2018b Keller 2019	0	Asia	1986.0	35.0	0.0	43.282363	104.1133864	NA	Illumina MiSeq	SPAdes v. 3.9	NA	NA	#5148fc	0.PE	POINT (104.1133864 43.282363)	6.671469999999998e-05	NA	6.44842e-05	1.4609999999999999	427.0	212.0	104.0	2.0384599999999997	5.0	0.0480769	468.0	427.0	41.0	0.0876068	2.3556e-06	pass	0.0
GCA_002981955.1_ASM298195v1_genomic	I-2238	1972.0	-49	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08625965	KEEP: Assembly Modern Kislichkina 2018b Keller 2019	0	Asia	1972.0	49.0	0.0	48.5470083	89.8549358	NA	Illumina MiSeq	SPAdes v. 3.9	NA	NA	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	7.218009999999998e-05	NA	6.99496e-05	1.375	461.0	231.0	110.0	2.1	8.0	0.07272730000000001	491.0	461.0	30.0	0.0610998	9.8938e-06	pass	0.0
GCA_002981895.1_ASM298189v1_genomic	I-2231	1972.0	-49	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Ulegeica	0.PE	0.PE5	SAMN08625964	KEEP: Assembly Modern Kislichkina 2018b Keller 2019 Placement	0	Asia	1972.0	49.0	0.0	48.5470083	89.8549358	NA	Illumina MiSeq	SPAdes v. 3.9	NA	NA	#5148fc	0.PE	POINT (89.85493580000001 48.5470083)	6.391159999999999e-05	NA	6.16811e-05	1.511	422.0	203.0	105.0	1.93333	8.0	0.0761905	453.0	422.0	31.0	0.0684327	1.6489e-06	pass	0.0
GCA_001295105.1_ASM129510v1_genomic	C-235	1968.0	-53	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Caucasica	0.PE	0.PE2	SAMN03861483	KEEP: Assembly Modern Kislichkina 2015 Keller 2019	0	Asia	1968.0	53.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.9	Microtus	Rodentia	#5148fc	0.PE	POINT (46.70500981655712 40.6065534)	8.306769999999999e-05	NA	8.083719999999999e-05	1.6	646.0	364.0	133.0	2.73684	7.0	0.0526316	655.0	646.0	9.0	0.013740500000000001	9.423e-07	pass	0.0
GCA_003074535.1_ASM307453v1_genomic	5M	1952.0	-69	Kyrgyzstan	Issyk-Kul Region	41.5089324	74.724091	42.06103415	78.17073232346421	Antiqua	0.ANT	0.ANT5	SAMN08866745	KEEP: Assembly Modern Kutyrev 2018 Keller 2019 Placement	0	Asia	1952.0	69.0	0.0	42.06103415	78.17073232346421	Non-Human	IonTorrent	Newbler v. 2.6	Oropsylla silantiewi	Siphonaptera	#238af5	0.ANT	POINT (78.17073232346421 42.06103415)	5.86571e-05	NA	1.6029e-05	1.953	166.0	84.0	42.0	2.0	7.0	0.166667	186.0	166.0	20.0	0.107527	4.711e-07	pass	0.0
GCA_003074595.1_ASM307459v1_genomic	262	1967.0	-54	Kyrgyzstan	Issyk-Kul Region	41.5089324	74.724091	42.06103415	78.17073232346421	Antiqua	0.ANT	0.ANT5	SAMN08866640	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1967.0	54.0	0.0	42.06103415	78.17073232346421	Non-Human	IonTorrent	Newbler v. 2.6	Marmota baibacina	Rodentia	#238af5	0.ANT	POINT (78.17073232346421 42.06103415)	5.81624e-05	NA	1.55343e-05	1.791	161.0	84.0	43.0	1.9534900000000002	1.0	0.0232558	186.0	161.0	25.0	0.134409	2.356e-07	pass	0.0
GCA_003074335.1_ASM307433v1_genomic	44	1966.0	-55	Azerbaijan	Goranboy District	40.3936294	47.7872508	40.606553399999996	46.70500981655712	Medievalis	2.MED	2.MED1	SAMN05225380	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1966.0	55.0	0.0	40.606553399999996	46.70500981655712	Non-Human	IonTorrent	Newbler v. 2.6	Nosopsyllus laeviceps	Siphonaptera	#c5e88a	2.MED	POINT (46.70500981655712 40.6065534)	7.476979999999996e-05	NA	1.1377899999999998e-05	1.641	216.0	120.0	47.0	2.5531900000000003	0.0	0.0	227.0	216.0	11.0	0.0484581	1.4134e-06	pass	0.0
GCA_003074255.1_ASM307425v1_genomic	1454	2012.0	-9	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05225371	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	2012.0	9.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Urocitellus undulatus	Rodentia	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.125669999999999e-05	NA	5.1907999999999995e-06	2.333	164.0	80.0	41.0	1.9512200000000002	10.0	0.243902	184.0	164.0	20.0	0.108696	2.36e-08	fail	0.0
GCA_003074175.1_ASM307417v1_genomic	I-3086	1983.0	-38	Mongolia	Bayankhongor	46.8250388	103.8499736	46.18084675	100.67009765478292	Microtus	0.PE	0.PE4m	SAMN05219216	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1983.0	38.0	0.0	46.18084675	100.67009765478292	Non-Human	IonTorrent	Newbler v. 2.6	Lasiopodomys brandtii	Rodentia	#5148fc	0.PE	POINT (100.6700976547829 46.18084675)	6.1031599999999993e-05	NA	5.88011e-05	1.5219999999999998	417.0	211.0	88.0	2.39773	4.0	0.0454545	430.0	417.0	13.0	0.030232599999999995	9.423e-07	pass	0.0
GCA_002993145.1_ASM299314v1_genomic	1393G	1979.0	-42	Georgia	Samtskhe-Javakheti	41.6809707	44.02873820000001	41.52653525	43.2469570403887	Caucasica	0.PE	0.PE2	SAMN08634710	KEEP: Assembly Modern	0	Asia	1979.0	42.0	0.0	41.52653525	43.2469570403887	Non-Human	IonTorrent	Newbler v. 2.6	Microtus arvalis	Rodentia	#5148fc	0.PE	POINT (43.2469570403887 41.52653525)	8.330329999999999e-05	NA	8.107279999999999e-05	1.6219999999999999	646.0	356.0	141.0	2.52482	7.0	0.0496454	668.0	646.0	22.0	0.0329341	2.36e-08	pass	0.0
GCA_002005285.1_ASM200528v1_genomic	195/P	[1898:1950]	[-123:-71]	India	Maharashtra	22.3511148	78.6677428	18.906835600000004	75.6741579	Antiqua	2.ANT	2.ANT1	SAMN06161235	KEEP: Assembly Modern Placement	2	Asia	1924.0	97.0	26.0	18.906835600000004	75.6741579	Human	Illumina MiSeq	NA	Homo sapiens	Human	#97fca7	2.ANT	POINT (75.6741579 18.9068356)	6.957689999999998e-05	NA	8.069500000000001e-06	0.684	202.0	95.0	48.0	1.97917	10.0	0.208333	231.0	202.0	29.0	0.125541	1.4134e-06	fail	1.0
GCA_003074435.1_ASM307443v1_genomic	KM874	1984.0	-37	Armenia	Syunik Province	40.7696272	44.6736646	39.3281408	46.1530296	Caucasica	0.PE	0.PE2	SAMN05240958	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1984.0	37.0	0.0	39.3281408	46.1530296	Non-Human	IonTorrent	Newbler v. 2.6	Microtus arvalis	Rodentia	#5148fc	0.PE	POINT (46.1530296 39.3281408)	8.351519999999999e-05	NA	8.128469999999998e-05	1.601	643.0	363.0	131.0	2.7709900000000003	4.0	0.0305344	649.0	643.0	6.0	0.00924499	1.4134e-06	pass	0.0
GCA_003074415.1_ASM307441v1_genomic	3551	1979.0	-42	Armenia	Gegharkunik Province	40.7696272	44.6736646	40.3030726	45.375739	Caucasica	0.PE	0.PE2	SAMN05225437	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1979.0	42.0	0.0	40.3030726	45.375739	Non-Human	IonTorrent	Newbler v. 2.6	Ctenophthalmus teres	Siphonaptera	#5148fc	0.PE	POINT (45.375739 40.3030726)	8.44574e-05	NA	8.222689999999999e-05	1.618	653.0	361.0	136.0	2.65441	8.0	0.0588235	661.0	653.0	8.0	0.0121029	1.8845e-06	pass	0.0
GCA_003074395.1_ASM307439v1_genomic	3544	1979.0	-42	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN05225434	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1979.0	42.0	0.0	40.8294349	43.8276008	Non-Human	IonTorrent	Newbler v. 2.6	Microtus arvalis	Rodentia	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.259649999999999e-05	NA	8.036599999999998e-05	1.6480000000000001	638.0	358.0	133.0	2.6917299999999997	2.0	0.0150376	647.0	638.0	9.0	0.013910399999999998	2.36e-08	pass	0.0
GCA_003074375.1_ASM307437v1_genomic	261	1955.0	-66	Azerbaijan	Baku	40.3936294	47.7872508	40.3754434	49.8326748	Medievalis	2.MED	2.MED1	SAMN05225432	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1955.0	66.0	0.0	40.3754434	49.8326748	Non-Human	IonTorrent	Newbler v. 2.6	Meriones libycus erythrourus	Rodentia	#c5e88a	2.MED	POINT (49.8326748 40.3754434)	7.406309999999997e-05	NA	1.0671199999999997e-05	1.736	223.0	122.0	47.0	2.59574	3.0	0.0638298	245.0	223.0	22.0	0.0897959	7.067e-07	pass	0.0
GCA_003074355.1_ASM307435v1_genomic	1240	1967.0	-54	Azerbaijan	Fizuli District	40.3936294	47.7872508	39.58356755	47.3806998083944	Medievalis	2.MED	2.MED1	SAMN05225431	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1967.0	54.0	0.0	39.58356755	47.3806998083944	Non-Human	IonTorrent	Newbler v. 2.6	Meriones libycus erythrourus	Rodentia	#c5e88a	2.MED	POINT (47.3806998083944 39.58356755)	7.356839999999997e-05	NA	1.0176499999999998e-05	1.7069999999999999	223.0	120.0	51.0	2.3529400000000003	1.0	0.0196078	238.0	223.0	15.0	0.06302519999999999	2.356e-07	pass	0.0
GCA_003074315.1_ASM307431v1_genomic	I-3223	1987.0	-34	Russia	Tuva Republic	64.6863136	97.7453061	51.4017149	93.8582593	Antiqua	4.ANT	4.ANT1	SAMN05225379	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	1987.0	34.0	0.0	51.4017149	93.8582593	Non-Human	IonTorrent	Newbler v. 2.6	Citellophilus tesquorum	Siphonaptera	#68fcc1	4.ANT	POINT (93.8582593 51.4017149)	5.9363799999999996e-05	NA	3.2979000000000002e-06	1.719	146.0	77.0	37.0	2.08108	1.0	0.027027	170.0	146.0	24.0	0.141176	4.711e-07	pass	0.0
GCA_003074295.1_ASM307429v1_genomic	244	1967.0	-54	Kazakhstan	Kyzylorda Region	47.2286086	65.20931970000001	45.20588529999999	63.9155202	Medievalis	2.MED	2.MED1	SAMN05225376	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Asia	1967.0	54.0	0.0	45.20588529999999	63.9155202	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	#c5e88a	2.MED	POINT (63.9155202 45.20588529999999)	7.354479999999997e-05	NA	1.0152899999999999e-05	1.6780000000000002	214.0	115.0	50.0	2.3	1.0	0.02	243.0	214.0	29.0	0.119342	2.36e-08	pass	0.0
GCA_003074275.1_ASM307427v1_genomic	C-627	1986.0	-35	Russia	Kabardino-Balkaria	64.6863136	97.7453061	43.44282860000001	43.4204809	Medievalis	2.MED	2.MED0	SAMN05225373	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Europe	1986.0	35.0	0.0	43.44282860000001	43.4204809	Non-Human	IonTorrent	Newbler v. 2.6	Coleophora tesquorum	Lepidoptera	#c5e88a	2.MED	POINT (43.4204809 43.44282860000001)	8.34076e-05	NA	2.00157e-05	1.141	201.0	111.0	45.0	2.46667	0.0	0.0	210.0	201.0	9.0	0.042857099999999995	1.04078e-05	pass	0.0
GCA_003074235.1_ASM307423v1_genomic	I-3244	1988.0	-33	Mongolia	Bayan-Ölgii	46.8250388	103.8499736	48.5470083	89.8549358	Antiqua	4.ANT	4.ANT1	SAMN05225370	KEEP: Assembly Modern Placement	4	Asia	1988.0	33.0	0.0	48.5470083	89.8549358	Non-Human	IonTorrent	Newbler v. 2.6	Ochotona dauurica	Lagomorpha	#68fcc1	4.ANT	POINT (89.85493580000001 48.5470083)	6.68867e-05	NA	1.08208e-05	1.413	151.0	79.0	40.0	1.975	0.0	0.0	170.0	151.0	19.0	0.111765	6.1247e-06	pass	0.0
GCA_003074215.1_ASM307421v1_genomic	349	2015.0	-6	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05219223	KEEP: Assembly Modern	4	Europe	2015.0	6.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Oropsylla silantiewi	Siphonaptera	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.132749999999998e-05	NA	5.2616e-06	2.065	164.0	84.0	40.0	2.1	9.0	0.225	183.0	164.0	19.0	0.103825	2.36e-08	pass	0.0
GCA_003074195.1_ASM307419v1_genomic	337	2015.0	-6	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05219221	KEEP: Assembly Modern	4	Europe	2015.0	6.0	0.0	50.7114101	86.8572186	NA	IonTorrent	Newbler v. 2.6	NA	NA	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.130389999999999e-05	NA	5.238e-06	1.761	151.0	80.0	40.0	2.0	0.0	0.0	178.0	151.0	27.0	0.151685	2.36e-08	pass	0.0
GCA_003074155.1_ASM307415v1_genomic	338	2015.0	-6	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05219204	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	2015.0	6.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Marmota baibacina	Rodentia	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.132749999999998e-05	NA	5.2616e-06	1.831	155.0	82.0	38.0	2.15789	1.0	0.0263158	170.0	155.0	15.0	0.0882353	2.36e-08	pass	0.0
GCA_003085995.1_ASM308599v1_genomic	1906	2014.0	-7	Russia	Republic of Kalmykia	64.6863136	97.7453061	46.90171160000001	45.249161	Medievalis	2.MED	2.MED1	SAMN05162893	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Europe	2014.0	7.0	0.0	46.90171160000001	45.249161	Non-Human	IonTorrent	Newbler v. 2.6	Meriones meridianus	Rodentia	#c5e88a	2.MED	POINT (45.249161 46.90171160000001)	7.518529999999993e-05	NA	1.1793399999999995e-05	1.6880000000000002	219.0	122.0	51.0	2.39216	0.0	0.0	243.0	219.0	24.0	0.0987654	1.1778e-06	pass	0.0
GCA_002412255.1_Y.pestis_A-1836_genomic	A-1836	1983.0	-38	Kyrgyzstan	Issyk-Kul Region	41.5089324	74.724091	42.06103415	78.17073232346421	Antiqua	0.ANT	0.ANT5	SAMN05162891	KEEP: Assembly Modern Eroshenko 2017 Keller 2019	0	Asia	1983.0	38.0	0.0	42.06103415	78.17073232346421	Non-Human	IonTorrent	Newbler v. 2.6	Marmota baibacina	Rodentia	#238af5	0.ANT	POINT (78.17073232346421 42.06103415)	9.94501e-05	NA	5.6822e-05	0.611	157.0	85.0	39.0	2.17949	0.0	0.0	191.0	157.0	34.0	0.17801	4.12877e-05	fail	1.0
GCA_003086015.1_ASM308601v1_genomic	M-1944	2012.0	-9	Russia	Tuva Republic	64.6863136	97.7453061	51.4017149	93.8582593	Antiqua	4.ANT	4.ANT1	SAMN05162583	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	2012.0	9.0	0.0	51.4017149	93.8582593	Non-Human	IonTorrent	Newbler v. 2.6	Marmota sibirica	Rodentia	#68fcc1	4.ANT	POINT (93.8582593 51.4017149)	6.256819999999999e-05	NA	6.5022999999999996e-06	1.736	153.0	84.0	34.0	2.47059	0.0	0.0	176.0	153.0	23.0	0.130682	1.1778e-06	pass	0.0
GCA_003085935.1_ASM308593v1_genomic	835	1958.0	-63	Armenia	Shirak Province	40.7696272	44.6736646	40.8294349	43.8276008	Caucasica	0.PE	0.PE2	SAMN05162581	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1958.0	63.0	0.0	40.8294349	43.8276008	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	#5148fc	0.PE	POINT (43.8276008 40.8294349)	8.32561e-05	NA	8.102559999999999e-05	1.575	644.0	357.0	137.0	2.60584	7.0	0.0510949	646.0	644.0	2.0	0.00309598	7.067e-07	pass	0.0
GCA_003085975.1_ASM308597v1_genomic	1530	2014.0	-7	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Medievalis	2.MED	2.MED1	SAMN05162580	KEEP: Assembly Modern	2	Europe	2014.0	7.0	0.0	50.7114101	86.8572186	NA	IonTorrent	Newbler v. 2.6	NA	NA	#c5e88a	2.MED	POINT (86.8572186 50.7114101)	7.449609999999994e-05	NA	1.1104199999999994e-05	1.6	217.0	120.0	49.0	2.4489799999999997	1.0	0.020408199999999998	242.0	217.0	25.0	0.103306	2.36e-08	pass	0.0
GCA_003086055.1_ASM308605v1_genomic	595	2014.0	-7	Russia	Astrakhan Oblast	64.6863136	97.7453061	47.1878186	47.608851	Medievalis	2.MED	2.MED1	SAMN05162559	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	2	Europe	2014.0	7.0	0.0	47.1878186	47.608851	Non-Human	IonTorrent	Newbler v. 2.6	Mus musculus	Rodentia	#c5e88a	2.MED	POINT (47.608851 47.1878186)	7.447859999999993e-05	NA	1.1086699999999993e-05	1.8259999999999998	223.0	124.0	52.0	2.38462	0.0	0.0	241.0	223.0	18.0	0.0746888	2.356e-07	pass	0.0
GCA_003085955.1_ASM308595v1_genomic	1313	2014.0	-7	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Altaica	0.PE	0.PE4a	SAMN05150105	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Europe	2014.0	7.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Paradoxopsyllus scorodumovi	Siphonaptera	#5148fc	0.PE	POINT (86.8572186 50.7114101)	6.043379999999999e-05	NA	5.82033e-05	1.445	389.0	205.0	84.0	2.44048	2.0	0.0238095	410.0	389.0	21.0	0.05121950000000001	1.6489e-06	pass	0.0
GCA_003085895.1_ASM308589v1_genomic	I-2998	1982.0	-39	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Altaica	0.PE	0.PE4a	SAMN05150068	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Europe	1982.0	39.0	0.0	50.7114101	86.8572186	Non-Human	IonTorrent	Newbler v. 2.6	Ochotona pallasi	Lagomorpha	#5148fc	0.PE	POINT (86.8572186 50.7114101)	5.995229999999999e-05	NA	5.77218e-05	1.4409999999999998	396.0	203.0	91.0	2.23077	2.0	0.021978	410.0	396.0	14.0	0.034146300000000004	1.75e-07	pass	0.0
GCA_002412245.1_Y.pestis_A-1691_genomic	A-1691	1971.0	-50	Kyrgyzstan	Issyk-Kul Region	41.5089324	74.724091	42.06103415	78.17073232346421	Antiqua	0.ANT	0.ANT5	SAMN05150065	KEEP: Assembly Modern Eroshenko 2017 Keller 2019	0	Asia	1971.0	50.0	0.0	42.06103415	78.17073232346421	NA	IonTorrent	Newbler v. 2.6	NA	NA	#238af5	0.ANT	POINT (78.17073232346421 42.06103415)	6.24025e-05	NA	1.9774399999999998e-05	1.571	173.0	97.0	37.0	2.62162	3.0	0.0810811	206.0	173.0	33.0	0.160194	4.4757e-06	pass	0.0
GCA_002412225.1_Y.pestis_A-1486_genomic	A-1486	1966.0	-55	Kyrgyzstan	Osh Region	41.5089324	74.724091	40.1537925	73.35273504013053	Antiqua	0.ANT	0.ANT3	SAMN05149973	KEEP: Assembly Modern Eroshenko 2017 Keller 2019	0	Asia	1966.0	55.0	0.0	40.1537925	73.35273504013053	Non-Human	IonTorrent	Newbler v. 2.6	Marmota caudata	Rodentia	#238af5	0.ANT	POINT (73.35273504013053 40.1537925)	5.8185899999999995e-05	NA	1.5557799999999995e-05	2.051	155.0	84.0	35.0	2.4	8.0	0.228571	182.0	155.0	27.0	0.148352	1.6489e-06	pass	0.0
GCA_003085875.1_ASM308587v1_genomic	M-986	1975.0	-46	Armenia	Syunik Province	40.7696272	44.6736646	39.3281408	46.1530296	Caucasica	0.PE	0.PE2	SAMN05149970	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	0	Asia	1975.0	46.0	0.0	39.3281408	46.1530296	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	#5148fc	0.PE	POINT (46.1530296 39.3281408)	8.254929999999999e-05	NA	8.031879999999999e-05	1.605	637.0	361.0	128.0	2.8203099999999997	7.0	0.0546875	641.0	637.0	4.0	0.00624025	4.711e-07	pass	0.0
GCA_002412235.1_Y.pestis_A-1249_genomic	A-1249	1970.0	-51	Tajikistan	Sughd Province	38.62817329999999	70.8156541	39.35486020000001	68.8268012	Hissarica	0.PE	0.PE4h	SAMN05149969	KEEP: Assembly Modern Eroshenko 2017 Keller 2019	0	Asia	1970.0	51.0	0.0	39.35486020000001	68.8268012	Non-Human	IonTorrent	Newbler v. 2.6	Neodon juldaschi carruthersi	Rodentia	#5148fc	0.PE	POINT (68.82680120000001 39.35486020000001)	7.30255e-05	NA	7.0795e-05	1.391	450.0	234.0	101.0	2.31683	0.0	0.0	464.0	450.0	14.0	0.0301724	7.067e-07	pass	0.0
GCA_003085915.1_ASM308591v1_genomic	517	2014.0	-7	Russia	Altai Republic	64.6863136	97.7453061	50.7114101	86.8572186	Antiqua	4.ANT	4.ANT1	SAMN05017795	KEEP: Assembly Modern Kutyrev 2018 Keller 2019	4	Europe	2014.0	7.0	0.0	50.7114101	86.8572186	Human	IonTorrent	Newbler v. 2.6	Homo sapiens	Human	#68fcc1	4.ANT	POINT (86.8572186 50.7114101)	6.172779999999999e-05	NA	5.661899999999999e-06	2.015	155.0	82.0	40.0	2.05	1.0	0.025	170.0	155.0	15.0	0.0882353	4.711e-07	pass	0.0
